id,ECO_NAME,feature_x,feature_y,BIOME ID,Carbon Storage Trees - kg per Tree,Carbon Storage Rooftops - kg per m2^2,Oxygen Trees - kg / tree,Oxygen Rooftops - kg / m2,Carbon Dioxide Cars - kg / car,Urban Cooling Trees - Kelvin / tree,Urban Cooling Rooftops - Kelvin / m2^2
0,Sinaloan dry forests,"-106,019,944,805,649,000","22,861,296,024,144,500",2,0.2,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
1,Veracruz moist forests,"-99,067,873,007,320,200","23,012,525,615,843,500",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
2,Uatuma-Trombetas moist forests,"-58,409,831,721,672,100","-2,850,766,644,752,320",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
3,Uatuma-Trombetas moist forests,"-53,147,714,484,423,700",0.427180131,1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
4,Uatuma-Trombetas moist forests,"-52,497,904,822,356,400",-0.906219081,1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
5,Uatuma-Trombetas moist forests,"-60,362,720,428,944,600","2,095,125,284,754,780",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
6,Ucayali moist forests,"-75,666,472,075,928,600","-5,265,400,040,137,810",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
7,Guianan piedmont and lowland moist forests,"-63,078,110,567,599,800","5,906,034,180,157,440",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
8,Guianan piedmont and lowland moist forests,"-63,221,550,342,393,000","6,182,815,119,217,140",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
9,Caqueta moist forests,"-72,331,543,943,562,700",0.491206591,1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
10,MarajÃ³ varzeÃ¡,"-49,499,964,889,419,000",-0.445780132,1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
11,Atacama desert,"-69,380,783,315,117,700","-21,509,146,742,413,000",13,0.3,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
12,Cherskii-Kolyma mountain tundra,"127,200,543,558,669,000","67,969,478,183,362,400",11,0.2,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
13,Cherskii-Kolyma mountain tundra,"132,352,350,172,039,000","65,439,420,542,685,100",11,0.2,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
14,Ethiopian montane forests,"39,130,720,379,940,700","8,162,438,322,114,430",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
15,Guianan savanna,"-59,821,701,387,502,300","2,492,890,004,687,270",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
16,Magdalena Valley montane forests,"-73,324,244,235,847,500","5,591,327,777,054,120",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
17,Cuban dry forests,"-81,398,167,316,055,300","22,732,242,832,316,300",2,0.2,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
18,YucatÃ¡n moist forests,"-90,539,763,243,945,500","18,298,392,661,748,600",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
19,Trans-Mexican Volcanic Belt pine-oak forests,"-100,065,632,931,421,000","18,979,735,246,820,900",3,0.4,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
20,Eastern Cordillera real montane forests,"-77,749,425,719,708,900",-0.363029906,1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
21,Scandinavian Montane Birch forest and grasslands,"19,704,905,593,263,100","67,809,378,492,013,200",11,0.2,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
22,Scandinavian Montane Birch forest and grasslands,"15,729,669,617,737,300","67,711,561,446,010,100",11,0.2,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
23,Scandinavian Montane Birch forest and grasslands,"14,308,710,529,254,700","64,936,946,613,305,100",11,0.2,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
24,Chukchi Peninsula tundra,"-171,436,171,759,114,000","66,610,011,947,059,000",11,0.2,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
25,Chukchi Peninsula tundra,"-175,198,874,723,897,000","65,590,344,465,763,200",11,0.2,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
26,PetÃ©n-Veracruz moist forests,"-90,962,878,375,632,100","16,058,873,171,494,600",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
27,Llanos,"-67,360,085,331,535,100","7,852,189,009,146,040",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
28,Llanos,"-68,120,584,686,249,400","7,768,546,831,316,930",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
29,Llanos,"-68,426,856,345,907,600","9,411,024,183,482,310",7,1,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
30,Arctic desert,"59,217,226,903,502,600","75,033,488,665,402,800",11,0.2,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
31,Beringia upland tundra,"-165,701,748,243,883,000","64,729,981,821,721,000",11,0.2,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
32,Central American pine-oak forests,"-88,910,126,340,314,900","14,904,410,886,291,900",3,0.4,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
33,Central American Atlantic moist forests,"-87,094,706,703,477,600","15,698,551,293,455,500",1,0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
